Location,Number of Libraries,GVA of City(billion),Average salary,Satisfaction
Lancashire,75,27.668,27996,2
Nottinghamshire,60,24.578,25729,27
Wolverhampton,39,15.722,25136,14
Hampshire,55,47.207,27268,34
Devon,50,22.679,27502,10
Staffordshire,45,20.197,25412,33
Derbyshire,45,21.669,33784,24
North Yorkshire,44,22.488,27300,32
Northamptonshire,39,15.954,29993,20
Glamorgan,35,16.189,24668,5
Edinburgh,43,25.803,31122,16
Warwickshire,34,14.343,29203,12
South Glamorgan,34,28.19,27497,8
Wiltshire,34,16.392,30248,25
Buckinghamshire,32,21.295,31324,13
Bristol,30,13.277,28355,31
East Sussex,28,16.14,27372,22
Worcestershire,27,11.327,25677,19
East Riding of Yorkshire,24,10.881,27383,11
Berkshire,10,35.859,33347,30
Merseyside,60,28.257,27596,26
Greater Manchester,181,57.395,29682,9
Greater London,207,364.301,36010,23
South Yorkshire,68,23.85,28257,28
Tyne and Wear,45,22.776,25724,35
Leicestershire and Rutland,56,22.729,25890,29
Bedfordshire,18,13.782,30815,6
Aberdeen,75,35.861,30362,15
Glasgow,52,20.133,29161,18
